재해명,발생일자,종료일자,피해구분,국_사구분,주소,Latitude,Longitude,피해구역,피해면적(ha),데이터최종일자
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시고암동102-1,37.1665011,128.2431537,제천시 고암동 102-1번지 외 4개소,1.04,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시금성면구룡리산31-1,37.0590931,128.165182,제천시 금성면 구룡리 산31-1번지 외 3개소,0.73,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시금성면대장리산42,37.0634327,128.1843958,제천시 금성면 월굴리 산32번지 외 3필지,0.4,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시금성면동막리산119,37.1063793,128.2150441,제천시 금성면 동막리 산119 외 4필지,0.48,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시금성면사곡리산35-3,37.0795983,128.1468517,제천시 금성면 사곡리 산35-3번지 외 3개소,1.4,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시금성면양화리산87,37.0917307,128.2052785,제천시 금성면 양화리 산87 외 3개소,0.38,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시금성면양화리산8,37.0680458,128.1961131,제천시 금성면 대장리 산42번지 외 1필지,0.46,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시금성면양화리산15,37.0702037,128.2036203,제천시 금성면 양화리 산15 외 3개소,0.5,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시금성면양화리산67-1,37.0811978,128.2063055,제천시 금성면 양화리 산67-1 외 4필지,1.01,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시금성면양화리산40-14,37.0755147,128.2175595,제천시 금성면 양화리 산40-14 외 1개소,1.1,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시금성면양화리산34-5,37.0769548,128.2087334,제천시 금성면 양화리 산34-5 외 3개소,1.31,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시금성면월굴리산32,37.0425272,128.1797372,제천시 금성면 양화리 산8 외 3필지,0.4,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시금성면월림리산6,37.0869873,128.1908181,제천시 금성면 월림리 산6임,0.7,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시금성면월림리산5-1,37.0883086,128.1934044,제천시 금성면 월림리 산5-1번지,0.9,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,지자체소유림,충청북도제천시금성면월림리산25-1,37.0854109,128.1858402,제천시 금성면 월림리 산25-1번지,1.3,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시금성면중전리산52-2,37.0549571,128.1795002,제천시 금성면 중전리 산52-2번지 외 1개소,0.5,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시금성면활산리산4-1,37.0691957,128.1324956,제천시 금성면 활산리 산4-1 번지외 2필지,0.55,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시대랑동산22,37.0247222,128.2266667,제천시 대랑동 산22 외 11번지,1.5,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시덕산면선고리산122-1,36.8755176,128.164744,제천시 덕산면 선고리 산122-1,2,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시두학동산58-1,37.1353287,128.2635801,제천시 두학동 산 58-1번지 외 3개소,0.57,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시명지동산42-1,37.0247222,128.2266667,제천시 명지동 산 42-1번지,0.5,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시명지동산45-1,37.0247222,128.2266667,제천시 명지동 산45-1번지 외 2개소,0.7,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시명지동산37-1,37.0247222,128.2266667,제천시 명지동 산37-1번지,1.01,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시명지동산36-1,37.0247222,128.2266667,제천시 명지동 산36-1번지,2,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시백운면모정리산5,37.1318894,128.028347,제천시 백운면 모정리 산5 번지,1.1,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시백운면모정리산15-1,37.131027,128.0513527,제천시 백운면 모정리 산15-1외 1필지,2.1,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시백운면애련리산165-1,37.1196698,128.0375496,제천시 백운면 애련리 산165-1번지 외 1개소,0.4,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시백운면애련리산158-1,37.1162718,128.0465915,"제천시 백운면 애련리 산158-1, 산160-1 일원",1.3,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시백운면운학리산38,37.2017669,127.997316,제천시 백운면 원월리 711-2번지 외 1필지,0.6,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시백운면원울리711-2,37.1299226,127.9902832,제천시 백운면 운학리 산38번지 외 5개소,0.6,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시백운면원월리704-11,37.1255993,128.0013535,제천시 백운면 원월리 704-11번지 외 1개소,0.4,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,지자체소유림,충청북도제천시백운면평동리산71,37.1527889,128.0531058,"제천시 백운면 평동리 산71(평동임도, 산사태)",0.5,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시백운면화당리산24-2,37.1660844,127.9618298,제천시 백운면 화당리 산24-2번지 외 1개소,0.4,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시봉양읍공전리산112-1,37.111594,128.08334,제천시 봉양읍 공전리 산112-1 외 2필지,1.22,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시봉양읍구곡리산198-1,37.0904435,128.0781645,제천시 봉양읍 구곡리 산198-1 외 3필지,0.42,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시봉양읍구곡리산131-1,37.0972954,128.1011313,제천시 봉양읍 구곡리 산131-1 외 2필지,2.4,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시봉양읍삼거리산60-1,37.0990503,128.1575909,제천시 봉양읍 삼거리 산64-1,0.4,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시봉양읍삼거리산64-1,37.096311,128.1589295,제천시 봉양읍 연박리 산75번지 외 1개소,0.4,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시봉양읍삼거리산126,37.1024759,128.1334285,제천시 봉양읍 삼거리 산39,0.5,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시봉양읍삼거리산39,37.1175311,128.1537434,제천시 봉양읍 장평리 산90-4 외 3필지,0.5,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시봉양읍삼거리산33,37.1154061,128.1557817,제천시 봉양읍 삼거리 산33 외 2필지,0.6,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시봉양읍삼거리산196,37.1057386,128.1254767,제천시 봉양읍 삼거리 산196 외 3필지,0.7,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시봉양읍삼거리산32-1,37.1135514,128.158667,제천시 봉양읍 삼거리 산32-1외 1필지,0.9,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시봉양읍삼거리산42-1,37.1103575,128.1531786,제천시 삼거리 산42-1 외 1필,0.8,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시봉양읍삼거리산231-1,37.0797806,128.1355344,제천시 봉양읍 삼거리 산231-1,1,2022-07-25
