segment_id,east,north
1327,424302.983871,4114245.0
39,432890.811966,4105993.0
852,431139.941995,4104210.0
1656,408804.227468,4107366.0
1886,426084.429658,4101107.0
1893,426208.89313,4101177.0
2091,429244.032258,4100530.0
685,414122.182741,4112397.0
575,415195.482759,4112756.0
1258,436603.888889,4109539.0
1676,437065.26178,4108603.0
944,435801.954545,4110255.0
1024,435806.826087,4110051.0
129,430241.503122,4123454.0
511,431567.068966,4122574.0
540,431602.5,4122574.0
567,424928.104839,4107287.0
768,431307.24,4097970.84
431,424558.677419,4110876.0
628,424022.407407,4110350.0
6,421077.440476,4111750.0
6,423639.142857,4108309.0
1143,422825.391061,4105749.0
872,417213.272727,4108606.0
2074,415608.506494,4105888.0
2080,417403.764045,4105889.0
2071,417281.548673,4105903.0
13,423991.205128,4110254.0
768,431307.24,4097970.84
2100,416182.087379,4105187.0
2122,416287.619048,4105164.0
2062,416266.909548,4105279.0
353,421001.102041,4109340.0
768,431307.24,4097970.84
1117,435535.853081,4112753.0
1860,426988.94958,4100452.0
1828,427013.94382,4100397.0
1407,416584.877301,4104595.0
1325,423039.883721,4106492.0
555,418739.285714,4110494.0
1105,423116.363636,4106654.0
84,422988.454545,4098548.0
685,414122.182741,4112397.0
575,415195.482759,4112756.0
2249,429885.511364,4104519.0
1033,430047.137405,4107240.0
768,431307.24,4097970.84
173,424617.340426,4099531.0
775,428152.118644,4097719.0
1369,425331.470588,4099235.0
518,421407.382353,4101468.0
2046,425829.857143,4101961.0
137,408757.636364,4115967.0
286,409730.15873,4115417.5
